Date,Album,Type,Genre,Spotify,Bandcamp
16.01,Besna - Krásno,[Studio],"Black metal, Post-metal",https://open.spotify.com/album/0xcHaw8JAslSjSuOlNWKzp,https://besna.bandcamp.com/album/kr-sno
15.01,The Conjuration - The Trip,[Studio],"Avantgarde metal, Death metal",https://open.spotify.com/album/4uzWGyuxyxdmiUgtquBsQz,https://theconjuration.bandcamp.com/album/the-trip
15.01,"Necromaniac - Sciomancy, Malediction & Rites Abominable",[Studio],"Black metal, Death metal, Thrash metal",https://open.spotify.com/album/6c4YEkzcb7mivpdJq5j3on,https://necromaniac.bandcamp.com/album/sciomancy-malediction-rites-abominable
15.01,Cyanide Grenade - Cannibal Era,[Studio],Thrash metal,https://open.spotify.com/album/0wbjgSQQHvbyAHWNuKMXxg,https://cyanidegrenade.bandcamp.com/album/cannibal-era
15.01,Fatal - Apocalypsis,[Studio],Grindcore,https://open.spotify.com/album/3upGpK3tycLOXWBrdus98z,https://fataldeathtribe.bandcamp.com/album/apocalypsis
15.01,Dolmen Gate - Stygian Shores,[Live],Heavy metal,https://open.spotify.com/album/46y4S0RhECQQBWLnrWc0Yw,https://dolmengate.bandcamp.com/album/stygian-shores-live-at-uth-athens
15.01,Greh - Dysphoric Devotion,[Studio],"Doom death metal, Blackened sludge metal",https://open.spotify.com/album/78JxFATXYzim2mBJ29nZrT,https://fetznerdeathrecords.bandcamp.com/album/greh-dysphoric-devotion
14.01,Rudra - Antithesis,[Studio],"Death metal, Thrash metal",https://open.spotify.com/album/3lnMscZP22C4fv1Hy6W6IB,https://awakeningrecordscn.bandcamp.com/album/antithesis
13.01,Condemnatio Cristi - Iceberg,[EP],"Symphonic black metal, Symphonic death metal, Industrial metal",https://open.spotify.com/album/7xvlstc747jBIPwqp8J09t,https://condemnatiocristi.bandcamp.com/album/iceberg
13.01,Clouds - Desprins,[Studio],Atmospheric doom metal,https://open.spotify.com/album/1TN6owZxKO9K0AI8J6gU9e,https://loudragemusic.bandcamp.com/album/clouds-desprins
